File_Name,takeup
02_20101203,0
05_20101203,0
06_20101203,0
10028_20110208,1
10034_20110308,0
10040_20110307,0
10060_20110307,0
10070_20110307,0
10076_20110306,0
10293_20110307,0
10304_20110307,0
10310_20110307,0
10314_20110307,0
10328_20110308,0
10343_20110307,0
1035_20101215,0
10370_20110308,0
10373_20110303,0
10380_20110303,0
10397_20110307,0
10434_20110304,0
10459_20110304,1
10461_20110307,0
10462_20110307,0
10465_20110304,0
10468_20110304,0
10504_20110304,1
10559_20110308,0
1055_20101215,0
1058_20101215,0
1063_20101215,1
10671_20110309,0
1067_20101215,0
10683_20110309,0
1076_20101215,1
1080_20101215,0
1086_20101216,1
1112_20101216,1
1119_20101216,0
11353_20110309,0
11358_20110309,0
11362_20110309,0
11370_20110309,0
1137_20101216,0
1152_20101220,1
1153_20101220,1
1155_20101220,1
1207_20101214,1
1219_20101213,1
1237_20101214,0
126_20101203,1
1322_20101215,1
1323_20101215,1
1324_20101215,1
1325_20101220,0
132_20101203,0
133_20101203,1
1382_20101216,1
1409_20101220,0
146_20101203,0
1498_20101220,0
1541_20101221,1
1561_20101221,1
1574_20101220,1
1575_20101220,1
1584_20101221,1
1586_20101221,1
1605_20101221,0
1612_20101221,1
161_20101203,0
1623_20101220,0
1635_20101221,0
1640_20101221,0
165_20101203,1
1682_20101220,1
1692_20110128,0
1693_20110128,0
1707_20110122,0
1713_20101220,0
1736_20110106,1
174_20101216,0
1763_20110107,0
1772_20110106,0
1838_20110107,0
1839_20110107,0
1898_20101221,0
1908_20110114,0
1913_20110120,0
1934_20110105,0
1935_20110105,0
1936_20110105,0
1998_20110105,0
2012_20110105,1
2083_20110106,1
2122_20110107,0
214_20101203,0
2187_20110108,0
2224_20110107,1
2230_20110107,0
2262_20110107,1
2275_20110108,1
2280_20110108,1
2293_20110108,1
2310_20110108,0
2313_20110112,0
2323_20110108,0
235_20101203,0
2373_20110114,1
23_20101203,0
2414_20110110,1
2425_20110110,0
2440_20110110,1
2444_20110110,1
2449_20110110,0
2467_20110121,1
2504_20110110,0
2512_20110122,0
2517_20110110,0
2518_20110110,1
2520_20110120,0
2549_20110111,1
2560_20110112,0
2564_20110111,0
2609_20110111,0
260_20101204,0
2613_20110112,0
2641_20110111,0
2642_20110111,1
2655_20110120,0
2660_20110120,0
2676_20110127,0
2681_20110111,0
2692_20110111,0
2698_20110111,0
2715_20110120,0
2716_20110120,0
2730_20110111,0
2733_20110112,0
2750_20110112,0
2782_20110113,0
2831_20110113,0
286_20101204,0
2892_20110112,0
2895_20110112,0
2899_20110120,0
289_20101204,0
2913_20110114,0
2916_20110114,1
2920_20110112,0
3024_20110113,0
302_20101204,0
3035_20110114,0
3037_20110114,0
3060_20110128,0
30_20101214,1
3135_20110114,0
3141_20110117,0
3190_20110115,0
3248_20110117,0
3252_20110117,0
3265_20110117,0
3279_20110114,0
3290_20110114,0
3327_20110115,0
3335_20110115,0
3339_20110115,1
333_20101204,0
3350_20110115,0
3386_20110117,0
3394_20110118,0
3398_20110118,1
3400_20110119,1
3408_20110118,1
344_20110120,0
3506_20110119,0
350_20101204,0
3546_20110120,1
3578_20110120,1
3606_20110124,0
3612_20110124,0
3633_20110124,0
3636_20110124,0
3659_20110126,0
3664_20110121,0
3684_20110121,0
3710_20110115,0
3737_20110121,0
3760_20110120,0
3770_20110124,0
379_20101204,0
3802_20110119,0
3804_20110119,0
3814_20110119,1
3844_20110124,0
3849_20110124,0
3894_20110121,0
3895_20110203,0
3899_20110127,0
3912_20110127,0
3914_20110122,0
3918_20110122,0
3925_20110121,0
3941_20110122,0
3964_20110119,0
3965_20110207,1
3991_20110120,0
3996_20110118,0
4036_20110118,0
403_20101204,0
4063_20110119,0
4069_20110119,0
4079_20110120,0
4081_20110126,0
4093_20110128,0
4120_20110127,0
4121_20110127,0
4148_20110117,0
4175_20110117,0
4181_20110118,0
4183_20110118,0
4188_20110118,0
4197_20110118,0
4199_20110118,1
4222_20110118,0
4223_20110118,0
4225_20110118,0
4226_20110118,0
4239_20110118,1
4252_20110119,0
4257_20110119,0
425_20101204,1
4270_20110119,0
435_20101204,0
4408_20110121,0
4416_20110121,0
4442_20110203,0
4450_20110121,0
4480_20110201,0
4481_20110209,0
4484_20110207,0
4494_20110128,0
4558_20110126,0
4587_20110126,0
4590_20110126,0
4601_20110126,0
4602_20110127,0
4610_20110126,0
4612_20110127,1
461_20101204,0
4624_20110128,0
4641_20110128,0
4644_20110128,0
4646_20110128,0
4649_20110127,0
4654_20110127,0
4663_20110217,0
4666_20110222,0
4670_20110222,0
4703_20110127,0
4705_20110127,0
4718_20110204,0
4719_20110204,0
4740_20110125,0
4745_20110125,0
4748_20110125,1
4751_20110125,0
4756_20110204,0
4779_20110125,0
4789_20110125,0
4816_20110128,1
4820_20110128,0
4828_20110127,0
4829_20110128,0
4832_20110126,0
4834_20110126,0
4835_20110126,0
4837_20110126,1
4850_20110126,0
4853_20110126,1
4854_20110106,0
